Total_loss: 5.725523662567139	 Hash_loss: 5.479708528518676	 Classsifier_loss: 0.9519240260124207	 Entropy_loss: -2.3014689922332763
Total_loss: 5.7243787288665775	 Hash_loss: 5.479184484481811	 Classsifier_loss: 0.9506818115711212	 Entropy_loss: -2.3014675617218017
Total_loss: 5.725955390930176	 Hash_loss: 5.480105257034301	 Classsifier_loss: 0.951993751525879	 Entropy_loss: -2.3014670848846435
Total_loss: 5.723818826675415	 Hash_loss: 5.478952026367187	 Classsifier_loss: 0.9500273048877717	 Entropy_loss: -2.3014679908752442
Total_loss: 5.725166463851929	 Hash_loss: 5.479653406143188	 Classsifier_loss: 0.951318907737732	 Entropy_loss: -2.3014638662338256
Total_loss: 5.724479150772095	 Hash_loss: 5.479409837722779	 Classsifier_loss: 0.9504311740398407	 Entropy_loss: -2.3014626264572144
Total_loss: 5.726719808578491	 Hash_loss: 5.480846166610718	 Classsifier_loss: 0.9520408034324646	 Entropy_loss: -2.301467943191528
Total_loss: 5.7255144119262695	 Hash_loss: 5.480092859268188	 Classsifier_loss: 0.9511369884014129	 Entropy_loss: -2.301469111442566
Total_loss: 5.724706172943115	 Hash_loss: 5.47962965965271	 Classsifier_loss: 0.9504470527172089	 Entropy_loss: -2.301469612121582
Total_loss: 5.725552082061768	 Hash_loss: 5.480070161819458	 Classsifier_loss: 0.9512557446956634	 Entropy_loss: -2.3014599561691282
Total_loss: 5.725667810440063	 Hash_loss: 5.480303335189819	 Classsifier_loss: 0.9510222911834717	 Entropy_loss: -2.301466631889343
Total_loss: 5.725542116165161	 Hash_loss: 5.480100631713867	 Classsifier_loss: 0.9511764764785766	 Entropy_loss: -2.301468920707703
Total_loss: 5.725937938690185	 Hash_loss: 5.480380296707153	 Classsifier_loss: 0.9514081954956055	 Entropy_loss: -2.301464152336121
Total_loss: 5.728370571136475	 Hash_loss: 5.482062768936157	 Classsifier_loss: 0.9529087364673614	 Entropy_loss: -2.301465392112732
Total_loss: 5.726560497283936	 Hash_loss: 5.48097972869873	 Classsifier_loss: 0.9514542877674103	 Entropy_loss: -2.301464295387268
Total_loss: 5.726637887954712	 Hash_loss: 5.480813598632812	 Classsifier_loss: 0.9519415438175202	 Entropy_loss: -2.3014660596847536
Total_loss: 5.728293180465698	 Hash_loss: 5.481875419616699	 Classsifier_loss: 0.9531287312507629	 Entropy_loss: -2.301465368270874
Total_loss: 5.727015972137451	 Hash_loss: 5.480806732177735	 Classsifier_loss: 0.9527121663093567	 Entropy_loss: -2.301468014717102
Total_loss: 5.728791856765747	 Hash_loss: 5.481966733932495	 Classsifier_loss: 0.9539433717727661	 Entropy_loss: -2.301465392112732
Total_loss: 5.72713270187378	 Hash_loss: 5.481365108489991	 Classsifier_loss: 0.9518282949924469	 Entropy_loss: -2.3014653444290163
Total_loss: 5.726591014862061	 Hash_loss: 5.480819225311279	 Classsifier_loss: 0.9518373489379883	 Entropy_loss: -2.301468849182129
Total_loss: 5.726199579238892	 Hash_loss: 5.4806934833526615	 Classsifier_loss: 0.9513049364089966	 Entropy_loss: -2.3014628171920775
Total_loss: 5.724747896194458	 Hash_loss: 5.4797022342681885	 Classsifier_loss: 0.9503848493099213	 Entropy_loss: -2.301466679573059
Total_loss: 5.724216318130493	 Hash_loss: 5.479409170150757	 Classsifier_loss: 0.9499079048633575	 Entropy_loss: -2.301468014717102
Total_loss: 5.724437046051025	 Hash_loss: 5.479742097854614	 Classsifier_loss: 0.9496811866760254	 Entropy_loss: -2.3014556884765627
Total_loss: 5.72559003829956	 Hash_loss: 5.480535411834717	 Classsifier_loss: 0.9504017889499664	 Entropy_loss: -2.3014621257781984
Total_loss: 5.727230453491211	 Hash_loss: 5.481468057632446	 Classsifier_loss: 0.9518174171447754	 Entropy_loss: -2.301462268829346
Total_loss: 5.726931476593018	 Hash_loss: 5.481376886367798	 Classsifier_loss: 0.9514014482498169	 Entropy_loss: -2.3014617443084715
Total_loss: 5.726221084594727	 Hash_loss: 5.481022596359253	 Classsifier_loss: 0.9506898283958435	 Entropy_loss: -2.3014628887176514
